DATE,DEPARTMENT,DOWNLOAD REFERENCE NO.,SUBJECT,LINK
"July 29, 2024",Listing,NSE/CML/63126,Listing of further issue of Securities.,https://nsearchives.nseindia.com/content/circulars/CML63126.pdf
"July 29, 2024",Surveillance & Investigation,NSE/SURV/63125,Reversal Trade Cancellation Mechanism (RTCM),https://nsearchives.nseindia.com/content/circulars/SURV63125.zip
"July 29, 2024",Listing,NSE/CML/63124,Listing of further issue of Kck Industries Limited,https://nsearchives.nseindia.com/content/circulars/CML63124.pdf
"July 29, 2024",Emerge,NSE/CML/63124,Listing of further issue of Kck Industries Limited,https://nsearchives.nseindia.com/content/circulars/CML63124.pdf
"July 29, 2024",Surveillance & Investigation,NSE/INVG/63123,Order in respect of S.P. Natural Eco-Green Projects (India) Limited,https://nsearchives.nseindia.com/content/circulars/INVG63123.pdf
"July 29, 2024",Surveillance & Investigation,NSE/INVG/63122,Confirmatory Order in the matter of V Marc India Limited,https://nsearchives.nseindia.com/content/circulars/INVG63122.pdf
"July 29, 2024",Listing,NSE/CML/63121,Listing of further issue of Reliance Industries Limited,https://nsearchives.nseindia.com/content/circulars/CML63121.pdf
"July 29, 2024",Listing,NSE/CML/63120,Listing of Equity Shares of Avantel Limited (New Listing),https://nsearchives.nseindia.com/content/circulars/CML63120.zip
"July 29, 2024",Listing,NSE/CML/63119,Trading of Rights Entitlements pursuant to Rights Issue of GACM Technologies Limited,https://nsearchives.nseindia.com/content/circulars/CML63119.pdf
"July 29, 2024",Debt Segment,NSE/CML/63118,Listing of privately placed securities on the debt market segment of the Exchange,https://nsearchives.nseindia.com/content/circulars/CML63118.pdf
"July 29, 2024",Listing,NSE/CML/63118,Listing of privately placed securities on the debt market segment of the Exchange,https://nsearchives.nseindia.com/content/circulars/CML63118.pdf
"July 29, 2024",Listing,NSE/CML/63117,Listing of privately placed securities on capital market segment,https://nsearchives.nseindia.com/content/circulars/CML63117.pdf
"July 29, 2024",Listing,NSE/CML/63116,Continuation of trading in Securities in Z Category,https://nsearchives.nseindia.com/content/circulars/CML63116.pdf
"July 29, 2024",Capital Market (Equities) Trade,NSE/CMTR/63115,SPLIT: Adjustment of Market Lot for Security CELLECOR in SME Platform,https://nsearchives.nseindia.com/content/circulars/CMTR63115.pdf
"July 29, 2024",Emerge,NSE/CMTR/63115,SPLIT: Adjustment of Market Lot for Security CELLECOR in SME Platform,https://nsearchives.nseindia.com/content/circulars/CMTR63115.pdf
"July 29, 2024",Surveillance & Investigation,NSE/SURV/63113,Applicability of Short-Term Additional Surveillance Measure (ST-ASM),https://nsearchives.nseindia.com/content/circulars/SURV63113.zip
"July 29, 2024",Surveillance & Investigation,NSE/SURV/63112,Applicability of Additional Surveillance Measure (ASM),https://nsearchives.nseindia.com/content/circulars/SURV63112.zip
"July 29, 2024",Listing,NSE/CML/63111,Listing of Equity Shares of V.L.Infraprojects Limited (SME IPO),https://nsearchives.nseindia.com/content/circulars/CML63111.zip
"July 29, 2024",Emerge,NSE/CML/63111,Listing of Equity Shares of V.L.Infraprojects Limited (SME IPO),https://nsearchives.nseindia.com/content/circulars/CML63111.zip
"July 29, 2024",Surveillance & Investigation,NSE/SURV/63110,Applicability of Enhanced Surveillance Measure (ESM),https://nsearchives.nseindia.com/content/circulars/SURV63110.zip
"July 29, 2024",Listing,NSE/CML/63109,Face Value Split - Kapston Services Limited (KAPSTON),https://nsearchives.nseindia.com/content/circulars/CML63109.pdf
"July 29, 2024",Listing,NSE/CML/63108,Trading of Rights Entitlements pursuant to Rights Issue of GACM Technologies Limited,https://nsearchives.nseindia.com/content/circulars/CML63108.pdf
"July 29, 2024",Listing,NSE/CML/63107,Trade for Trade - RNFI Services Limited (SME IPO),https://nsearchives.nseindia.com/content/circulars/CML63107.pdf
"July 29, 2024",Emerge,NSE/CML/63107,Trade for Trade - RNFI Services Limited (SME IPO),https://nsearchives.nseindia.com/content/circulars/CML63107.pdf
"July 29, 2024",Listing,NSE/CML/63106,Suspension of trading in Non-Convertible Debentures (Privately Placed) - Hindustan Petroleum Corporation Limited,https://nsearchives.nseindia.com/content/circulars/CML63106.pdf
"July 26, 2024",Emerge,NSE/CML/63105,Listing of further issues of Sar Televenture Limited,https://nsearchives.nseindia.com/content/circulars/CML63105.pdf
"July 26, 2024",Listing,NSE/CML/63105,Listing of further issues of Sar Televenture Limited,https://nsearchives.nseindia.com/content/circulars/CML63105.pdf
"July 26, 2024",Listing,NSE/CML/63104,Listing of further issue of Adroit Infotech Limited,https://nsearchives.nseindia.com/content/circulars/CML63104.pdf
"July 26, 2024",Securities Lending & Borrowing Scheme,NCL/CMPT/63103,"Revised MWPL, Participant, Institutional and Non Institutional client limits for TATACONSUM",https://nsearchives.nseindia.com/content/circulars/CMPT63103.pdf
"July 26, 2024",Surveillance & Investigation,NSE/INVG/63102,SEBI Order in respect of Vijay Mallya in the matter of routing of funds to the Indian Securities Market using overseas bank accounts with UBS AG,https://nsearchives.nseindia.com/content/circulars/INVG63102.pdf
"July 26, 2024",Listing,NSE/CML/63101,Listing of Units of Cube Highways Trust,https://nsearchives.nseindia.com/content/circulars/CML63101.pdf
"July 26, 2024",Listing,NSE/CML/63100,Listing of Equity Shares of RNFI Services Limited (SME IPO),https://nsearchives.nseindia.com/content/circulars/CML63100.zip
"July 26, 2024",Emerge,NSE/CML/63100,Listing of Equity Shares of RNFI Services Limited (SME IPO),https://nsearchives.nseindia.com/content/circulars/CML63100.zip
"July 26, 2024",Listing,NSE/CML/63099,Listing of further issues of securities.,https://nsearchives.nseindia.com/content/circulars/CML63099.pdf
"July 26, 2024",Surveillance & Investigation,NSE/SURV/63098,Applicability of Short-Term Additional Surveillance Measure (ST-ASM),https://nsearchives.nseindia.com/content/circulars/SURV63098.zip
"July 26, 2024",Surveillance & Investigation,NSE/SURV/63097,Applicability of Additional Surveillance Measure (ASM),https://nsearchives.nseindia.com/content/circulars/SURV63097.zip
"July 26, 2024",Surveillance & Investigation,NSE/SURV/63096,Applicability of Enhanced Surveillance Measure (ESM),https://nsearchives.nseindia.com/content/circulars/SURV63096.zip
"July 26, 2024",NSE Clearing - Capital Market,NCL/CMPT/63095,Settlement Calendar for Offer for Sale of shares of Viceroy Hotels Limited,https://nsearchives.nseindia.com/content/circulars/CMPT63095.pdf
"July 26, 2024",Debt Segment,NSE/CML/63094,Listing of privately placed securities on the debt market segment of the Exchange,https://nsearchives.nseindia.com/content/circulars/CML63094.pdf
"July 26, 2024",Listing,NSE/CML/63094,Listing of privately placed securities on the debt market segment of the Exchange,https://nsearchives.nseindia.com/content/circulars/CML63094.pdf
"July 26, 2024",Listing,NSE/CML/63093,Listing of privately placed securities on capital market segment,https://nsearchives.nseindia.com/content/circulars/CML63093.pdf
"July 26, 2024",Listing,NSE/CML/63092,Face Value Split - Filatex Fashions Limited (FILATFASH),https://nsearchives.nseindia.com/content/circulars/CML63092.pdf
"July 26, 2024",Listing,NSE/CML/63091,Suspension of trading in Non-Convertible Debentures (Privately Placed) ,https://nsearchives.nseindia.com/content/circulars/CML63091.pdf
"July 26, 2024",Listing,NSE/CML/63090,Change in name and symbol of Ambani Organics Limited,https://nsearchives.nseindia.com/content/circulars/CML63090.pdf
"July 26, 2024",Listing,NSE/CML/63089,Listing of Equity Shares of Ravindra Energy Limited (New Listing),https://nsearchives.nseindia.com/content/circulars/CML63089.zip
"July 26, 2024",Listing,NSE/CML/63074,Revocation of suspension of trading in units - on account of Interval Scheme,https://nsearchives.nseindia.com/content/circulars/CML63074.pdf
"July 25, 2024",Listing,NSE/CML/63088,Listing of further issue of IDFC First Bank Limited,https://nsearchives.nseindia.com/content/circulars/CML63088.pdf
"July 25, 2024",Futures & Options,NCL/CMPT/63087,"Revised MWPL, TM, FII/FPI & MF limits for TATA CONSUMER PRODUCTS LIMITED",https://nsearchives.nseindia.com/content/circulars/CMPT63087.pdf
"July 25, 2024",Listing,NSE/CML/63086,Listing of further issues of securities,https://nsearchives.nseindia.com/content/circulars/CML63086.pdf
"July 25, 2024",Surveillance & Investigation,NSE/INVG/63085,SEBI Order in the matter of Unregistered Investment Advisory Services by Equity Mantra (Proprietor. Mr. Naresh Pal),https://nsearchives.nseindia.com/content/circulars/INVG63085.pdf
"July 25, 2024",Listing,NSE/CML/63084,Listing of Equity Shares of Sanstar Limited (IPO),https://nsearchives.nseindia.com/content/circulars/CML63084.zip
"July 25, 2024",Listing,NSE/CML/63083,Listing of privately placed securities on capital market segment,https://nsearchives.nseindia.com/content/circulars/CML63083.pdf
"July 25, 2024",Debt Segment,NSE/CML/63082,Listing of privately placed securities on the debt market segment of the Exchange,https://nsearchives.nseindia.com/content/circulars/CML63082.pdf
"July 25, 2024",Listing,NSE/CML/63082,Listing of privately placed securities on the debt market segment of the Exchange,https://nsearchives.nseindia.com/content/circulars/CML63082.pdf
"July 25, 2024",Securities Lending & Borrowing Scheme,NCL/CMPT/63081,"Revised MWPL, Participant, Institutional & Non - Institutional Client Limits for KSB",https://nsearchives.nseindia.com/content/circulars/CMPT63081.pdf
"July 25, 2024",Listing,NSE/CML/63080,Listing of Treasury Bills (Tbills) and State Development Loans (SDLs) on capital market segment,https://nsearchives.nseindia.com/content/circulars/CML63080.pdf
"July 25, 2024",Securities Lending & Borrowing Scheme,NCL/CMPT/63079,Change in Security Name and Symbol,https://nsearchives.nseindia.com/content/circulars/CMPT63079.pdf
"July 25, 2024",Futures & Options,NSE/FAOP/63078,RIGHTS: Adjustment of Futures and Options contracts in the security TATACONSUM,https://nsearchives.nseindia.com/content/circulars/FAOP63078.pdf
"July 25, 2024",Surveillance & Investigation,NSE/SURV/63077,Applicability of Short-Term Additional Surveillance Measure (ST-ASM),https://nsearchives.nseindia.com/content/circulars/SURV63077.zip
"July 25, 2024",Surveillance & Investigation,NSE/SURV/63076,Applicability of Additional Surveillance Measure (ASM),https://nsearchives.nseindia.com/content/circulars/SURV63076.zip
"July 25, 2024",Listing,NSE/CML/63075,Suspension of trading in Non-Convertible Debentures (Privately Placed),https://nsearchives.nseindia.com/content/circulars/CML63075.pdf
"July 25, 2024",Listing,NSE/CML/63063,Listing of Equity Shares of Sanstar Limited (IPO),https://nsearchives.nseindia.com/content/circulars/CML63063.pdf
"July 24, 2024",Securities Lending & Borrowing Scheme,NCL/CMPT/63073,Revised list of Approved Securities and GOI Securities (G-Sec),https://nsearchives.nseindia.com/content/circulars/CMPT63073.zip
"July 24, 2024",Debt Segment,NCL/DS/63072,Revised list of Approved GOI Securities (G-Sec) and Corporate Bonds,https://nsearchives.nseindia.com/content/circulars/DS63072.zip
"July 24, 2024",Commodity Derivatives,NCL/COM/63071,Revised list of Approved Securities,https://nsearchives.nseindia.com/content/circulars/COM63071.zip
"July 24, 2024",Futures & Options,NCL/CMPT/63070,Revised List of Approved Securities,https://nsearchives.nseindia.com/content/circulars/CMPT63070.zip
"July 24, 2024",NSE Clearing - Capital Market,NCL/CMPT/63069,Revised list of Approved Securities,https://nsearchives.nseindia.com/content/circulars/CMPT63069.zip
"July 24, 2024",Currency Derivatives,NCL/CD/63068,Revised list of Approved Securities,https://nsearchives.nseindia.com/content/circulars/CD63068.zip
"July 24, 2024",Listing,NSE/CML/63067,Listing of privately placed securities on capital market segment,https://nsearchives.nseindia.com/content/circulars/CML63067.pdf
"July 24, 2024",Futures & Options,NCL/CMPT/63066,Adjustment of Futures and Options Contracts in the Security TATA CONSUMER PRODUCTS LIMITED (TATACONSUM),https://nsearchives.nseindia.com/content/circulars/CMPT63066.pdf
"July 24, 2024",Emerge,NSE/CML/63065,Listing of further issues of Rbm Infracon Limited,https://nsearchives.nseindia.com/content/circulars/CML63065.pdf
"July 24, 2024",Listing,NSE/CML/63065,Listing of further issues of Rbm Infracon Limited,https://nsearchives.nseindia.com/content/circulars/CML63065.pdf
"July 24, 2024",Debt Segment,NSE/CML/63064,Listing of privately placed securities on the debt market segment of the Exchange,https://nsearchives.nseindia.com/content/circulars/CML63064.pdf
"July 24, 2024",Listing,NSE/CML/63064,Listing of privately placed securities on the debt market segment of the Exchange,https://nsearchives.nseindia.com/content/circulars/CML63064.pdf
"July 24, 2024",Listing,NSE/CML/63062,Listing of privately placed securities on capital market segment,https://nsearchives.nseindia.com/content/circulars/CML63062.pdf
"July 24, 2024",Surveillance & Investigation,NSE/INVG/63061,SEBI Order in the matter of Prakash Constrowell Limited,https://nsearchives.nseindia.com/content/circulars/INVG63061.pdf
"July 24, 2024",Listing,NSE/CML/63060,Listing of further issues of securities,https://nsearchives.nseindia.com/content/circulars/CML63060.pdf
"July 24, 2024",Futures & Options,NSE/FAOP/63059,RIGHTS: Adjustment of Futures and Options contracts in the security TATACONSUM,https://nsearchives.nseindia.com/content/circulars/FAOP63059.pdf
"July 24, 2024",Listing,NSE/CML/63058,Suspension of trading in Non-Convertible Debentures (Privately Placed),https://nsearchives.nseindia.com/content/circulars/CML63058.pdf
"July 24, 2024",Futures & Options,NCL/CMPT/63057,Revised list of Cross Margin Eligible Exchange Traded Funds (ETFs),https://nsearchives.nseindia.com/content/circulars/CMPT63057.pdf
"July 24, 2024",NSE Clearing - Capital Market,NCL/CMPT/63056,Revised list of Cross Margin Eligible Exchange Traded Funds (ETFs),https://nsearchives.nseindia.com/content/circulars/CMPT63056.pdf
"July 24, 2024",Commodity Derivatives,NSE/COM/63055,Daily Price Limit (DPL) or Operating range for Option contracts for GOLDM - update,https://nsearchives.nseindia.com/content/circulars/COM63055.pdf
"July 24, 2024",Surveillance & Investigation,NSE/SURV/63054,Applicability of Shot-Term Additional Surveillance Measure (ST-ASM),https://nsearchives.nseindia.com/content/circulars/SURV63054.zip
"July 24, 2024",Commodity Derivatives,NSE/COM/63053,Base price computation for GOLDM contract - Discontinuation of XAU feed,https://nsearchives.nseindia.com/content/circulars/COM63053.pdf
"July 24, 2024",Listing,NSE/CML/63052,Trade for Trade - Kataria Industries Limited (SME IPO),https://nsearchives.nseindia.com/content/circulars/CML63052.pdf
"July 24, 2024",Emerge,NSE/CML/63052,Trade for Trade - Kataria Industries Limited (SME IPO),https://nsearchives.nseindia.com/content/circulars/CML63052.pdf
"July 24, 2024",Surveillance & Investigation,NSE/SURV/63046,Applicability of Enhanced Surveillance Measure (ESM),https://nsearchives.nseindia.com/content/circulars/SURV63046.zip
"July 24, 2024",Listing,NSE/CML/63045,Trading of Rights Entitlements pursuant to Rights Issue of Indowind Energy Limited,https://nsearchives.nseindia.com/content/circulars/CML63045.pdf
"July 24, 2024",Listing,NSE/CML/63037,Trade for Trade Macobs Technologies Limited (SME IPO),https://nsearchives.nseindia.com/content/circulars/CML63037.pdf
"July 24, 2024",Emerge,NSE/CML/63037,Trade for Trade Macobs Technologies Limited (SME IPO),https://nsearchives.nseindia.com/content/circulars/CML63037.pdf
"July 23, 2024",NSE Clearing - Capital Market,NCL/CMPT/63051,Early Pay-in of Securities for Ksb Limited (KSB),https://nsearchives.nseindia.com/content/circulars/CMPT63051.pdf
"July 23, 2024",Listing,NSE/CML/63050,Listing of privately placed securities on the debt market segment of the Exchange,https://nsearchives.nseindia.com/content/circulars/CML63050.pdf
"July 23, 2024",Debt Segment,NSE/CML/63050,Listing of privately placed securities on the debt market segment of the Exchange,https://nsearchives.nseindia.com/content/circulars/CML63050.pdf
"July 23, 2024",Listing,NSE/CML/63049,Listing of privately placed securities on capital market segment,https://nsearchives.nseindia.com/content/circulars/CML63049.pdf
"July 23, 2024",Listing,NSE/CML/63048,Listing of further issues of securities,https://nsearchives.nseindia.com/content/circulars/CML63048.pdf
"July 23, 2024",Listing,NSE/CML/63047,Listing of Equity Shares of Macobs Technologies Limited (SME IPO),https://nsearchives.nseindia.com/content/circulars/CML63047.zip
"July 23, 2024",Emerge,NSE/CML/63047,Listing of Equity Shares of Macobs Technologies Limited (SME IPO),https://nsearchives.nseindia.com/content/circulars/CML63047.zip
"July 23, 2024",Listing,NSE/CML/63044,Face Value Split - Rushil Decor Limited (RUSHIL),https://nsearchives.nseindia.com/content/circulars/CML63044.pdf
"July 23, 2024",Surveillance & Investigation,NSE/SURV/63043,Applicability of Short-Term Additional Surveillance Measure (ST-ASM),https://nsearchives.nseindia.com/content/circulars/SURV63043.zip
"July 23, 2024",Surveillance & Investigation,NSE/SURV/63042,Applicability of Additional Surveillance Measure (ASM),https://nsearchives.nseindia.com/content/circulars/SURV63042.zip
"July 23, 2024",Listing,NSE/CML/63041,Listing of Equity Shares of Kataria Industries Limited (SME IPO),https://nsearchives.nseindia.com/content/circulars/CML63041.zip
"July 23, 2024",Emerge,NSE/CML/63041,Listing of Equity Shares of Kataria Industries Limited (SME IPO),https://nsearchives.nseindia.com/content/circulars/CML63041.zip
"July 23, 2024",Listing,NSE/CML/63040,Listing of units issued by ICICI Prudential Asset Management Company Limited (ICICI Prudential Nifty Oil & Gas ETF),https://nsearchives.nseindia.com/content/circulars/CML63040.pdf
"July 23, 2024","Legal, ISC & Arbitration",NSE/ISC/63039,Framework for providing flexibility for foreign portfolio Investor in dealing with their securities post expiry of their registration,https://nsearchives.nseindia.com/content/circulars/ISC63039.zip
"July 23, 2024",Listing,NSE/CML/63038,"Suspension of trading in T-Bills, Sovereign Gold Bonds, Government Securities and State Government Bonds - On account of redemption ",https://nsearchives.nseindia.com/content/circulars/CML63038.pdf
"July 23, 2024",Surveillance & Investigation,NSE/SURV/63036,Applicability of Enhanced Surveillance Measure (ESM),https://nsearchives.nseindia.com/content/circulars/SURV63036.zip
"July 23, 2024",Emerge,NSE/CML/63035,Trading of Rights Entitlements pursuant to Rights Issue of Globesecure Technologies Limited,https://nsearchives.nseindia.com/content/circulars/CML63035.pdf
"July 23, 2024",Listing,NSE/CML/63035,Trading of Rights Entitlements pursuant to Rights Issue of Globesecure Technologies Limited,https://nsearchives.nseindia.com/content/circulars/CML63035.pdf
"July 23, 2024",Listing,NSE/CML/63034,Trade for Trade - Tunwal E-Motors Limited (SME IPO),https://nsearchives.nseindia.com/content/circulars/CML63034.pdf
"July 23, 2024",Emerge,NSE/CML/63034,Trade for Trade - Tunwal E-Motors Limited (SME IPO),https://nsearchives.nseindia.com/content/circulars/CML63034.pdf
"July 23, 2024",Listing,NSE/CML/63033,Change in name of Vertoz Advertising Limited,https://nsearchives.nseindia.com/content/circulars/CML63033.pdf