Date,Source,Description,Link
30-07-2024,BSE,Daily Bulletin,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-49
30-07-2024,BSE,Suspension of Trading in Debentures of EDWARD FOOD RESEARCH AND ANALYSIS CENTRE LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-48
30-07-2024,BSE,Suspension of Trading in Debentures of ECAP EQUITIES LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-47
30-07-2024,BSE,Suspension of Trading in Debentures of ANNAPURNA FINANCE PRIVATE LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-46
30-07-2024,BSE,Suspension of Trading in Commercial Paper,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-45
30-07-2024,BSE,Part Redemption of Debentures of EMBASSY PROPERTY DEVELOPMENTS PRIVATE LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-44
30-07-2024,BSE,Rights issue of Equity Shares of SWISS MILITARY CONSUMER GOODS LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-43
30-07-2024,BSE,Sub-division and Bonus issue of MARUTI INFRASTRUCTURE LTD. (Scrip Code: 531540),https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-42
30-07-2024,BSE,Subdivision of Equity Shares of THINKINK PICTUREZ LTD (Scrip Code: 539310).,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-41
30-07-2024,BSE,Scheme of Arrangement (Demerger) of AJMERA REALTY & INFRA INDIA LTD (Scrip Code 513349) ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-40
30-07-2024,BSE,Order in the matter of front running by Alka Jain (Big Client- Sapphire Intrex Limited).,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-39
30-07-2024,BSE,CHANGES IN PRICE BAND,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-38
30-07-2024,BSE,Clarification received from the company on news article,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-37
30-07-2024,BSE,Clarifications received from the companies,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-36
30-07-2024,BSE,Graded Surveillance Measure (GSM) - List of securities moving into their respective GSM Stages,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-35
30-07-2024,BSE,Applicability of Additional Surveillance Measure,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-34
30-07-2024,BSE,Applicability of Short Term Additional Surveillance Measure (ST-ASM),https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-33
30-07-2024,BSE,Listing of further securities issued by the companies under ESOP/ESOS,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-32
30-07-2024,BSE,Listing of New Securities of Panchsheel Organic Ltd.,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-31
30-07-2024,BSE,Listing of New Securities of Megastar Foods Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-30
30-07-2024,BSE,Availability of FRANKLIN INDIA MULTICAP FUND for ongoing transactions on BSE StAR MF Platform,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-29
30-07-2024,BSE,Listing of Securities Srestha Finvest Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-28
30-07-2024,BSE,Listing of 1528 Bonus Equity Shares kept in abeyance of Castrol India Ltd.,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-27
30-07-2024,BSE,Order in the matter of misstatements/irregularities in the financial statements of Omaxe Limited.,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-26
30-07-2024,BSE,Enhanced Surveillance Measure (ESM),https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-25
30-07-2024,BSE,Listing of new Commercial Paper of Mirae Asset Financial Services (India) Private Limited ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-24
30-07-2024,BSE,Listing of new Commercial Paper of Adani Enterprises Ltd. ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-23
30-07-2024,BSE,Listing of new Commercial Paper of KEC International Ltd. ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-22
30-07-2024,BSE,Listing of new Commercial Paper of ARKA FINCAP LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-21
30-07-2024,BSE,Listing of new Commercial Paper of Axis Finance Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-20
30-07-2024,BSE,Listing of new Commercial Paper of IndoStar Capital Finance Limited ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-19
30-07-2024,BSE,Listing of new Commercial Paper of BOBCARD Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-18
30-07-2024,BSE,Listing of new Commercial Paper of Tata Housing Development Company Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-17
30-07-2024,BSE,Listing of new Commercial Paper of Indian Oil Corporation Ltd,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-16
30-07-2024,BSE,Listing of new debt securities of Setco Auto Systems Private Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-15
30-07-2024,BSE,Listing of Units of Aditya Birla Sun Life Nifty PSE ETF a scheme under Aditya Birla Sun Life Mutual Fund,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-14
30-07-2024,BSE,Change in Name of the Company.,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-13
30-07-2024,BSE,Market Lot Change for Bonus issue of GOEL FOOD PRODUCTS LIMITED(Scrip Code: 543538),https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-12
30-07-2024,BSE,Action against the Defaulting Companies for non-payment of Annual Listing Fees (ALF)  Equity Segment,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-11
30-07-2024,BSE,Addition to the BSE SME IPO INDEX,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-10
30-07-2024,BSE,Introduction of Any Day STP facility under Weekly option in BANDHAN Mutual Fund,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-9
30-07-2024,BSE,Listing of New Securities of VINTAGE COFFEE AND BEVERAGES LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-8
30-07-2024,BSE,Suspension of trading in T-Bills ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-7
30-07-2024,BSE,Resignation of Trading Members ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-6
30-07-2024,BSE,Non-Competitive Bidding for Auction of GoI dated Securities (G-secs) on August 02 2024,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-5
30-07-2024,BSE,Commencement of business by Trading Member Delta Techinvest Private Limited (Member Code: 6887) in Cash and Equity Derivatives segments,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-4
30-07-2024,BSE,Demat Auction - 682,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-3
30-07-2024,BSE,Forfeiture of Equity Shares of Aarti Surfactants Ltd.,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-2
30-07-2024,BSE,Change in Group of Equity Shares of VVIP Infratech Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-1
29-07-2024,BSE,Order in respect of S.P.Natural Eco-Green Projects (India) Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-48
29-07-2024,BSE,Public Issue of  AKUMS DRUGS AND PHARMACEUTICALS LIMITED - Allocation to Anchor Investors ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-47
29-07-2024,BSE,Offer to Buy  Acquisition Window (TAKEOVER) for CITYGOLD AND CREDIT CAPITAL LIMITED- Live Activities Schedule,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-46
29-07-2024,BSE,Daily Bulletin,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-45
29-07-2024,BSE,Change in Name of the Company,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-44
29-07-2024,BSE,Rights Entitlements of GACM TECHNOLOGIES LIMITED (EQ-DVR),https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-43
29-07-2024,BSE,Pre-Trade Risk Control  Limit Price Protection in Equity Derivatives Segment - Update,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-42
29-07-2024,BSE,Listing of Equity Shares of VVIP Infratech Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-41
29-07-2024,BSE,Rights Entitlements of GACM TECHNOLOGIES LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-40
29-07-2024,BSE,Enhanced Surveillance Measure (ESM),https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-39
29-07-2024,BSE,Clarifications received from the companies,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-38
29-07-2024,BSE,Applicability of Additional Surveillance Measure,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-37
29-07-2024,BSE,Listing of further securities issued by the companies under ESOP/ESOS,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-36
29-07-2024,BSE,Applicability of Short Term Additional Surveillance Measure (ST-ASM),https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-35
29-07-2024,BSE,Graded Surveillance Measure (GSM) - List of securities moving into their respective GSM Stages,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-34
29-07-2024,BSE,CHANGES IN PRICE BAND,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-33
29-07-2024,BSE,Shifting of scrips to Z / ZP/ ZY group,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-32
29-07-2024,BSE,Listing of Securities Sampre Nutritions Ltd,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-31
29-07-2024,BSE,Listing of New Securities of Eiko Lifesciences Ltd,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-30
29-07-2024,BSE,Listing of Secured Redeemable Non-Convertible Debentures of Edelweiss Financial Services Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-29
29-07-2024,BSE,Listing of new Commercial Paper of Reliance Retail Ventures Limited ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-28
29-07-2024,BSE,Listing of new Commercial Paper of TV18 Broadcast Ltd,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-27
29-07-2024,BSE,Listing of new Commercial Paper of Motilal Oswal Financial Services Limited ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-26
29-07-2024,BSE,Listing of new Commercial Paper of J.K. CEMENT LTD ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-25
29-07-2024,BSE,Listing of new Commercial Paper of SBICAP Securities Limited ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-24
29-07-2024,BSE,Listing of new Commercial Paper of Network 18 Media & Investments Limited ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-23
29-07-2024,BSE,Listing of new Commercial Paper of CNH Industrial Capital (India) Private Limited ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-22
29-07-2024,BSE,Listing of new Commercial Paper of Can Fin Homes Ltd.,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-21
29-07-2024,BSE,Listing of new Commercial Paper of Jamnagar Utilities & Power Private Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-20
29-07-2024,BSE,Listing of new debt securities of Godrej Properties Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-19
29-07-2024,BSE,Listing of new debt securities of Universal Sompo General Insurance Company Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-18
29-07-2024,BSE,Listing of new debt securities of IKF Finance Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-17
29-07-2024,BSE,Settlement Schedule Offer to Buy  Acquisition Window (Takeover) for CITY GOLD CREDIT CAPITAL LIMITED.,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-16
29-07-2024,BSE,Listing of Securities of SEPC Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-15
29-07-2024,BSE,Listing of New Securities of RELIANCE INDUSTRIES LTD.,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-14
29-07-2024,BSE,Listing of New Securities of YOGI LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-13
29-07-2024,BSE,BCX  Tender Period Margin Tracker  August 2024,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-12
29-07-2024,BSE,Bonus issue of GOEL FOOD PRODUCTS LIMITED(Scrip Code: 543538),https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-11
29-07-2024,BSE,New ISIN Number of PANORAMA STUDIOS INTERNATIONAL LTD (Scrip Code: 539469),https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-10
29-07-2024,BSE,Suspension of trading in T-Bills ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-9
29-07-2024,BSE,Resignation of Trading Member ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-8
29-07-2024,BSE,Demat Auction - 681,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-7
29-07-2024,BSE,Part Redemption of Debentures of KOLTE-PATIL DEVELOPERS LTD,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-6
29-07-2024,BSE,Listing of Equity Shares of VVIP Infratech Limited,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-5
29-07-2024,BSE,Introduction of Additional Contract master file in Equity Derivatives segment,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-4
29-07-2024,BSE,CORPORATE ACTION IN SLB SECURITIES,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-3
29-07-2024,BSE,Resignation of Trading Member,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-2
29-07-2024,BSE,Confirmatory Order in the matter of V Marc India Limited.,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240729-1
27-07-2024,BSE,Batch upload file format in UCC for updating Depository details,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240727-3
27-07-2024,BSE,Non-Competitive Bidding Facility for Auction of Treasury Bills (T-Bills) on July 31 2024,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240727-2
27-07-2024,BSE,Non-Competitive Bidding for Auction of State Government Securities (SDL) on July 30 2024,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240727-1
26-07-2024,BSE,Resumption of trading in the Partly Paid-up Equity shares of Adroit Infotech Limited (Scrip Code 890196) ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-60
26-07-2024,BSE,Daily Bulletin,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-59
26-07-2024,BSE,Tender Offer (Buyback) of Equity Shares of WELSPUN LIVING LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-58
26-07-2024,BSE,Suspension of Trading in Debentures of INDOSTAR CAPITAL FINANCE LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-57
26-07-2024,BSE,Suspension of Trading in Bonds of POWER FINANCE CORPORATION LTD,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-56
26-07-2024,BSE,Suspension of Trading in Debentures of SVATANTRA MICROFIN PRIVATE LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-55
26-07-2024,BSE,Suspension of Trading in Debentures of ICICI HOME FINANCE COMPANY LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-54
26-07-2024,BSE,Suspension of Trading in Debentures of NEOGROWTH CREDIT PRIVATE LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-53
26-07-2024,BSE,Suspension of Trading in Commercial Paper,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-52
26-07-2024,BSE,Part Redemption of Debentures of MAS FINANCIAL SERVICES LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-51
26-07-2024,BSE,Norms for acceptable collaterals and exposure of Clearing Corporations,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-50
26-07-2024,BSE,Part Redemption of Debentures of AYE FINANCE PVT. LTD. ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-49
26-07-2024,BSE,Clarifications received from the companies,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-48
26-07-2024,BSE,Clarification received from the company on news article,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-47
26-07-2024,BSE,Activation of SMART Switch Feature under SBI INNOVATIVE OPPORTUNITIES FUND  NFO on BSE StAR MF platform,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-46
26-07-2024,BSE,Order in the matter of routing of funds to the Indian Securities market using overseas bank accounts with UBS AG.,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-45
26-07-2024,BSE,Redemption Funds payout for Non-Demat Redemption Orders on BseStar MF ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-44
26-07-2024,BSE,Launch of NFO with SIP facility of SBI Mutual Fund on BSE StAR MF Platform,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-43
26-07-2024,BSE,Listing of new Commercial Paper of IndoStar Capital Finance Limited ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-42
26-07-2024,BSE,Applicability of Short Term Additional Surveillance Measure (ST-ASM),https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-41
26-07-2024,BSE,Discontinuation date of non-encryption channel in production   Update,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-40
26-07-2024,BSE,Resignation of Trading Member,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-39
26-07-2024,BSE,Availability of MIRAE ASSET NIFTY200 ALPHA 30 ETF FUND OF FUND for ongoing transactions on BSE StAR MF Platform,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-38
26-07-2024,BSE,Graded Surveillance Measure (GSM) - List of securities moving into their respective GSM Stages,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-37
26-07-2024,BSE,Enhanced Surveillance Measure (ESM),https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-36
26-07-2024,BSE,CHANGES IN PRICE BAND,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-35
26-07-2024,BSE,Applicability of Additional Surveillance Measure,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240726-34
